Sch_Depart	Perf_Depart	Enp_Pass	Freight	Mail
285693	288803	22665665	165668.76	93039.48
73300	74048	4420425	18041.52	19722.93
114153	115524	9549585	127815.09	29785.72
120210	121798	7076954	36242.84	15399.46
64465	66389	3547040	4494.78	4485.58
322430	332338	25636383	300463.8	140359.38
266737	269665	22899267	142660.95	86706.76
39481	40196	2882836	2216.7	242.87
154067	156293	11961839	67345.75	38043.73
6828	7162	362655	258.08	0
134929	137565	9903078	42831.24	32429.74
4241	4024	35	33858.26	1249
92659	96780	9002217	139496.57	19951.37
104249	105330	7543899	62425.36	21073.85
61387	62582	3972327	3787.82	790.44
1188	1253	18967	199.45	1.46
92196	92072	7796218	11288.52	13132.33
30444	30968	1698739	6414.64	1673.24
14443	14712	692995	7837.98	929.96
213302	215740	18438056	352823.5	71588.84
37275	38137	2203700	1163.62	173.94
106858	105658	9226103	187247.24	33739.59
46584	46508	3875357	38330.43	7842.12
114872	116312	8837228	68045.03	42973.8
130286	132817	9853925	163211.63	34065.82
74659	74507	9687068	275998.91	70305.53
129670	131310	10725465	23086.56	35713.98
84924	84328	7677769	23940.73	12083.04
105830	107331	6970820	49572.7	42422.69
148342	149274	10727494	42604.71	23812.85
125276	126550	7912394	21668.06	24285.06
135089	137711	9332091	49363.12	37674.06
77368	76754	5388178	35247.01	18788.6
70156	70893	5260907	18882.04	8822.78
D   1286	1334	49532	7.95	0
D  45986	46217	2670788	69875.8	3697.09
D 172007	187581	13474929	216259.94	55236.27
122226	124518	7385594	103409.85	34636.56
64396	64735	4781020	23048.08	17017.79
80651	82588	4448592	53609.69	25349.58
97043	98513	7034693	10470.14	27341.35
34138	34386	2384647	5286.72	6441.62
35891	35273	1362282	318663.23	62566.64
31494	31718	2054955	7549	3941.16
S  30554	30926	1637293	8508.88	3962.18
65533	66217	3907625	16808.48	14295.54
76988	78018	3836050	19467.41	10427.55
29986	30338	1685100	3407.81	11595.43
1735	1733	0	11311.08	99.03
36966	37191	1845160	20922.76	6306.52
28333	28519	1673243	4824.94	1760.09
22210	22149	1712679	2435.07	1699.9
31850	32217	2312455	14432.08	14325.94
53471	53125	2601839	110350.63	9713.05
24585	24854	1266677	8073.55	5411.32
29624	31427	2094390	9015.42	1605.24
52781	52834	3358116	18041.4	17014.09
18704	19724	1264738	969.51	742.14
94420	95198	3887208	614223.6	13168.89
39724	40661	1915390	11747.66	8317.82
57474	58060	3404243	7453.14	7887.41
49121	49606	3361062	15439.58	6139.07
26495	26824	1254846	5371.22	2530.79
25347	25550	1519518	5316.15	4923.59
NO 40925	41200	2640734	8488.64	10668.98
69578	70763	3025345	33735.01	11622.95
66211	67304	4361369	16302.95	8429.76
21609	22010	1343619	3361.04	1543.59
25132	25585	1154747	8092.4	2910.75
39723	47086	1737096	5991.77	10284.73
39740	40020	2593896	10049.59	7584.84
49173	50096	3128393	20971.84	3966.67
29514	30065	1166598	11243.51	4347.42
20201	20413	1263509	3709.47	2740.06
24975	25217	1483037	8241.04	5582.49
29363	29625	2609138	3089.87	3424.48
5606	5806	230249	334.41	893.32
15007	15295	878372	2184.93	2712.69
7744	7807	349358	2017.81	350.3
6616	6668	435297	327.14	781.19
8837	8921	423808	526.69	1625.13
8741	8868	237699	420.69	1738.63
20112	20185	1001983	5937.63	5255.4
16802	17121	525092	3007.15	1941.86
7444	7527	529042	3656.57	9.01
7507	7689	306489	1682.98	1143.32
TY  7753	7810	341142	5937.53	1623.8
14215	14380	631956	2179.36	866.09
5327	5388	239746	1046.56	197.31
10903	11001	551507	638.32	671.96
13531	13673	512759	6554.2	2009.81
6651	6756	423498	298.3	639.46
7514	7507	490336	377.78	89.18
12144	12256	658619	1705.15	9042.02
8074	8252	224658	857.1	601
6150	6167	233809	6573.16	6431.49
7851	8062	242000	1114.74	662.03
20879	20993	393442	887.12	963.19
13086	13366	614280	4010.83	1650.33
T  23519	23906	894532	9801.19	3841.67
RG 11580	11739	503271	1314.55	1908.97
10537	10746	437341	5692.89	1579.88
10868	10817	651191	4522.27	1139.18
9880	10043	381668	734.72	457.42
9270	9456	353294	151.42	54.68
7001	7203	422400	542.59	1484.22
9001	9082	391018	543.63	1812.42
14800	15527	977274	5166.7	887.18
10228	10234	477768	6192.36	1644.97
7811	7913	291634	373.87	1331.34
15154	15310	950540	918.25	3616.92
21813	21944	937645	8725.02	5618.14
11575	11691	611413	7282.66	546.74
8926	9158	425563	4044.83	873.45
6344	6455	267963	7091.74	632.01
5838	5866	360126	133.58	34.15
8675	8762	580905	559.51	300.62
9734	9824	380798	5438.91	646.6
6286	6553	220093	394.09	310.27
19952	19951	994132	5701.22	14391.15
8765	8930	394222	864.82	1429.55
8712	8956	472393	2526.91	1552.77
16890	17113	1060719	2372.95	3402.81
20443	20652	864381	5403.95	3507.87
7143	7347	224595	257.83	587.41
3952	4036	219310	278.94	175.6
9999	10263	226472	806.88	0.01
15765	15990	989935	542.07	71.36
11089	11270	520881	1306.61	768.92
7656	7639	257229	6198.18	1618.82
6466	6514	226436	1163.97	1556.28
6630	7072	224050	1826	212.82
25315	25837	747329	7827.61	2283.69
9193	9306	381840	1492.52	699.4
13772	13901	561432	6905.22	2928.32
