HUSBR1	HUSBR2	HUSBR3	HUSBR4	HUSBR5	WIFER1	WIFER2	WIFER3	WIFER4	WIFER5	HPREDW1	HPREDW2	HPREDW3	HPREDW4	HPREDW5	WPREDH1	WPREDH2	WPREDH3	WPREDH4	WPREDH5	HUSBINF1	HUSBINF2	HUSBINF3	HUSBINF4	HUSBINF5	WIFEINF1	WIFEINF2	WIFEINF3	WIFEINF4	WIFEINF5	PICTURE	HSUMBUY	HSUMINF	HPREDSUM	WSUMBUY	WPREDSUM	WSUMINF	FAMSCORE	HUSBSAYS	WIFEPRED
5	7	4	5	3	2	5	2	7	5	6	7	4	4	5	2	6	1	5	5	2	5	3	4	3	3	5	1	2	3	0	102	61	110	67	51	59	169	3	1
7	1	4	4	7	7	4	4	7	7	7	1	7	7	4	4	4	2	7	7	1	5	1	1	1	1	5	1	1	1	0	109	42	103	97	88	44	206	3	1
6	2	5	1	4	6	7	4	1	7	6	2	5	1	6	6	7	2	1	5	2	4	3	3	3	1	1	3	3	1	0	73	61	78	83	76	48	156	1	1
1	3	3	2	7	1	7	1	1	7	2	2	4	5	7	1	7	1	1	4	1	5	1	4	1	2	2	2	3	2	0	73	49	78	88	80	47	161	1	3
5	5	3	5	7	3	3	4	7	7	7	4	5	2	7	3	5	4	7	7	2	4	1	5	2	2	5	2	5	3	0	95	54	101	97	99	61	192	2	2
7	7	6	7	7	3	6	4	4	7	5	7	6	4	7	4	7	4	4	7	3	5	3	4	3	3	5	3	5	3	0	110	71	100	93	97	64	203	1	1
2	7	1	7	2	6	6	6	6	6	2	7	1	7	2	7	6	6	6	6	3	5	1	5	3	4	5	3	2	2	0	90	68	89	88	95	62	178	3	1
7	1	5	7	7	7	1	4	7	4	7	1	5	3	7	4	1	4	4	1	3	5	3	2	3	3	4	1	1	3	0	109	58	104	95	65	51	204	2	2
3	2	5	3	3	7	1	7	7	7	3	2	4	2	2	5	1	7	7	7	2	5	2	4	3	1	5	1	5	1	0	72	56	71	117	108	38	189	1	1
6	5	5	4	5	1	7	3	7	7	6	3	6	3	5	3	7	3	7	5	1	4	3	4	2	3	5	2	2	2	0	95	60	87	92	93	55	187	1	2
5	4	5	4	3	4	1	5	2	7	5	3	5	3	4	4	2	5	4	5	2	5	2	5	3	2	5	1	3	2	0	85	59	74	83	99	50	168	1	3
3	6	4	3	5	4	6	1	4	6	4	5	3	3	6	4	4	1	7	6	3	5	3	4	3	2	5	3	3	3	0	83	66	77	54	60	62	137	1	2
6	2	4	3	5	7	1	1	5	7	6	1	2	3	6	7	1	1	5	7	2	5	3	4	3	2	5	3	2	2	0	82	65	74	108	93	60	190	1	1
6	6	4	2	6	4	7	6	4	7	6	6	3	2	6	4	7	6	6	7	2	5	3	4	2	3	5	3	4	3	0	86	60	83	89	90	64	175	3	1
4	6	6	7	1	7	1	7	7	7	2	1	6	7	3	5	4	7	7	3	2	5	2	2	2	2	4	2	3	2	0	92	59	68	87	90	56	179	1	1
1	3	1	1	5	4	1	1	1	6	3	1	1	1	4	4	4	1	4	4	2	5	1	4	2	3	5	2	4	2	0	64	59	57	64	74	61	128	2	2
3	6	4	3	4	5	7	4	7	7	4	4	3	2	4	5	7	5	1	7	4	5	3	4	3	2	5	3	2	5	0	82	70	84	110	87	66	192	1	2
5	1	5	3	1	6	3	2	5	6	7	1	2	1	3	4	4	3	5	3	2	5	3	5	2	2	5	3	2	2	0	51	64	58	88	87	57	139	1	3
3	1	4	1	7	1	7	3	7	5	3	6	3	1	7	5	7	3	7	5	3	5	3	3	2	 	5	 	 	 	0	81	67	60	83	97	 	164	3	1
4	3	1	2	6	7	3	4	6	7	2	1	1	1	5	6	3	5	4	2	2	5	3	5	1	3	5	3	3	3	0	69	57	55	97	96	57	166	1	3
6	5	3	6	6	5	4	3	4	3	4	3	6	3	4	6	4	3	5	4	2	5	1	4	2	3	4	1	3	3	0	105	57	92	69	76	57	174	3	2
5	4	2	5	5	6	4	3	2	6	7	3	4	5	5	5	5	3	4	5	3	5	2	4	2	2	5	2	4	2	0	86	60	91	83	78	55	169	1	1
3	5	3	7	3	4	2	1	6	6	5	7	3	7	4	4	4	1	3	5	3	5	2	2	3	3	4	3	1	2	0	86	62	101	77	73	53	163	3	2
2	4	4	4	4	4	6	6	2	6	2	4	4	2	4	4	4	6	4	5	 	4	 	 	 	3	4	2	4	3	0	68	 	66	73	73	62	141	2	2
3	6	2	6	5	7	4	4	7	7	1	4	3	6	6	7	4	3	7	6	3	4	2	3	3	4	5	3	3	4	0	82	59	78	98	97	68	180	1	3
7	2	3	3	7	1	7	3	7	6	7	2	3	3	7	1	7	6	7	7	2	5	3	4	3	3	4	3	3	1	0	97	66	90	87	100	54	184	3	3
5	7	3	3	3	4	2	3	2	1	5	7	5	1	3	4	4	3	4	1	2	5	2	5	3	3	5	2	4	3	0	101	58	98	80	86	64	181	3	2
5	3	4	1	4	7	3	5	1	6	7	3	5	3	6	7	3	4	1	5	4	5	2	3	3	3	4	2	3	3	0	90	66	92	70	65	63	160	2	3
3	1	5	4	6	4	1	3	4	7	3	1	5	4	6	6	1	5	4	4	3	1	1	3	3	3	5	2	3	2	0	98	51	103	83	80	62	181	2	3
6	3	5	4	7	4	7	3	1	7	6	2	6	6	7	2	7	5	1	4	3	5	3	2	3	2	4	3	2	3	0	94	63	96	88	80	55	182	3	1
6	2	3	3	6	4	4	7	1	2	5	2	2	4	6	4	4	5	4	2	2	5	2	5	2	3	5	2	5	3	0	91	67	89	73	81	64	164	1	3
3	4	2	3	2	2	5	1	4	4	5	3	3	2	2	1	5	1	3	2	2	4	2	4	2	3	5	2	5	1	0	66	56	69	64	49	49	130	2	1
2	4	4	4	7	3	4	2	1	2	1	4	2	1	7	5	6	3	4	1	3	5	3	3	1	3	4	3	4	3	0	76	63	59	67	77	62	143	2	2
4	5	6	2	6	4	1	7	2	3	3	3	5	4	3	4	4	7	5	5	3	5	4	3	2	2	4	3	4	3	0	80	63	71	85	105	66	165	3	3
4	6	3	3	6	2	7	7	4	7	3	3	5	3	6	4	4	6	2	7	3	5	2	4	3	3	4	3	3	3	0	83	65	85	106	82	64	189	2	2
1	1	3	1	3	2	4	6	1	7	1	2	3	1	6	3	4	6	4	1	3	4	2	3	2	3	5	3	4	1	0	47	58	55	85	92	56	132	2	3
7	5	7	5	7	7	7	7	7	3	6	5	7	3	7	7	7	7	7	4	3	5	2	3	3	3	4	2	3	3	0	106	63	102	98	108	56	204	3	3
2	5	2	4	4	4	7	4	1	3	4	5	2	2	5	4	4	4	2	3	2	5	2	4	3	1	4	2	3	2	0	82	58	86	69	67	40	151	3	1
4	2	1	1	7	4	5	7	6	3	4	2	1	1	7	 	5	7	6	4	3	5	3	4	3	4	5	1	3	3	0	75	64	78	109	 	62	184	1	3
1	4	3	5	4	3	6	2	6	7	5	2	6	3	7	1	4	2	4	7	2	5	1	5	3	2	5	3	4	2	0	91	64	102	97	83	57	188	3	2
7	3	4	5	4	2	1	4	1	4	7	3	2	2	7	1	5	4	1	1	3	5	3	5	3	1	5	3	3	1	0	82	64	82	59	55	61	141	3	1
5	3	2	1	6	1	6	5	7	5	7	3	4	1	4	1	6	5	5	5	2	5	2	3	3	3	4	3	1	3	0	79	63	70	80	83	56	159	1	1
5	2	2	2	6	2	3	4	1	7	6	1	2	2	6	3	4	3	3	7	2	5	2	5	3	3	5	1	4	3	0	78	65	67	80	80	62	158	1	3
1	4	6	7	7	1	1	3	7	4	1	4	4	7	5	1	4	3	4	4	3	5	4	3	2	2	4	1	3	2	0	94	62	88	69	72	57	163	2	2
4	2	3	7	2	2	1	1	4	3	4	3	2	7	2	4	2	3	3	3	3	5	3	1	2	3	4	2	1	3	0	76	60	62	36	62	61	112	1	1
5	1	3	4	1	5	3	6	3	6	6	1	1	4	1	5	4	6	2	5	2	5	3	 	2	3	3	3	3	3	0	76	 	66	76	78	59	152	2	3
3	5	2	6	6	3	5	7	1	3	4	5	2	6	4	5	3	5	1	2	2	4	2	3	3	4	3	2	3	2	0	88	58	90	87	77	53	175	1	1
4	7	1	1	1	6	2	6	7	7	4	7	1	3	1	7	4	7	7	7	3	4	1	1	3	3	5	2	1	3	0	51	58	73	95	114	68	146	3	3
7	7	4	7	7	7	7	2	7	7	4	1	4	7	7	3	7	2	7	1	3	5	3	5	3	3	4	3	3	3	0	86	63	101	97	82	62	183	2	2
4	1	2	7	4	5	1	2	7	7	4	1	4	7	4	7	1	2	7	4	2	3	2	3	3	3	4	3	3	3	0	82	56	80	81	101	59	163	2	2
3	5	2	3	6	6	2	6	1	7	3	5	2	2	5	6	4	6	4	7	4	5	2	5	3	2	5	3	4	3	1	106	71	92	90	96	64	196	3	2
2	2	6	1	1	4	6	3	1	3	4	3	6	1	4	4	4	3	1	2	2	5	3	3	3	3	5	3	3	3	1	70	63	73	77	79	67	147	1	3
1	7	4	3	7	7	7	3	1	7	7	7	4	4	7	1	3	3	1	5	2	4	3	3	2	2	5	3	3	2	1	76	63	75	95	84	68	171	1	3
2	2	5	3	3	3	6	2	1	1	3	2	5	3	2	2	6	4	2	2	3	3	4	4	4	2	4	3	4	3	1	66	63	61	53	54	52	119	2	1
2	4	2	7	7	3	3	2	3	6	2	4	4	6	7	3	5	3	3	2	3	4	2	3	3	3	5	3	3	3	1	75	63	68	74	68	62	149	1	1
3	6	3	2	3	3	4	5	4	6	4	6	4	2	6	3	4	5	4	2	2	5	3	4	3	3	4	3	3	1	1	88	65	97	92	84	60	180	3	3
2	4	 	1	5	2	6	4	1	7	2	2	 	1	5	5	4	2	2	7	2	5	3	3	2	3	5	2	4	2	1	 	 	 	 	 	61	 	3	1
2	1	4	2	1	5	4	2	2	6	5	1	3	4	2	5	4	2	2	5	2	5	3	2	3	2	4	3	3	2	1	58	63	55	65	64	62	123	3	1
6	3	4	1	5	7	3	4	1	6	6	2	4	1	6	7	3	4	1	5	3	4	3	3	3	3	4	3	3	2	1	83	61	77	76	78	58	159	2	3
6	2	4	4	3	3	1	3	2	4	5	2	5	4	4	2	1	4	2	3	2	4	2	4	2	3	5	3	3	3	1	89	57	94	84	80	62	173	1	1
1	7	1	5	4	2	6	3	2	4	1	4	1	2	4	4	5	2	2	4	5	5	3	3	3	3	5	3	3	3	1	70	67	64	67	64	62	137	1	1
7	7	4	1	7	6	7	6	3	7	7	4	6	5	7	4	7	2	3	7	2	4	2	2	2	3	4	1	2	3	1	91	50	103	82	72	57	173	3	3
5	3	5	2	4	2	4	6	3	6	3	2	4	2	3	3	4	4	4	6	2	5	2	4	4	3	5	1	3	3	1	87	68	74	79	84	57	166	3	3
6	3	2	4	1	2	6	2	6	1	7	2	5	6	2	3	3	2	4	1	2	4	1	4	3	3	4	2	4	3	1	70	64	71	80	79	63	150	2	1
3	6	4	3	2	4	6	2	7	2	4	6	3	2	3	6	6	2	7	2	2	5	3	4	2	2	4	3	5	3	1	63	64	55	75	74	59	138	2	2
5	4	4	2	3	5	3	6	3	7	7	6	4	1	6	3	4	1	3	5	3	4	3	4	3	1	4	2	3	2	1	84	63	90	76	68	60	160	1	2
1	4	3	5	3	5	1	1	4	7	7	2	5	2	5	3	1	1	3	5	3	4	2	4	3	2	5	3	5	1	1	73	64	83	56	46	62	129	3	1
6	3	6	1	7	7	1	7	3	7	6	4	6	1	6	3	4	3	3	7	4	4	4	4	4	2	5	1	3	4	1	108	80	110	111	103	58	219	1	3
2	5	4	3	2	3	4	6	2	2	5	5	4	3	4	3	4	6	2	1	2	5	2	3	1	1	3	1	3	2	1	76	56	79	63	64	60	139	2	2
2	4	7	1	2	3	4	6	1	2	2	4	3	1	4	4	4	5	1	2	3	2	4	3	2	3	3	3	3	3	1	66	58	63	61	65	 	127	1	1
6	4	5	2	6	4	3	3	6	3	6	5	6	3	2	2	4	3	5	3	3	5	5	1	5	2	4	9	3	3	1	80	80	65	76	74	68	156	2	2
4	3	3	2	4	4	1	1	4	3	4	3	1	2	3	4	1	4	2	4	3	2	5	2	3	3	3	4	2	3	1	63	62	65	88	82	61	151	1	2
2	4	2	1	1	3	3	4	2	3	3	3	5	2	4	1	4	3	2	4	2	5	3	4	3	2	4	3	3	3	1	54	65	65	76	70	60	130	1	1
3	4	3	6	3	5	1	2	1	6	3	4	3	6	3	5	2	2	1	6	3	4	2	3	2	3	4	2	3	2	1	89	50	85	63	72	62	152	3	1
6	2	2	5	6	3	4	3	2	3	6	2	4	4	7	2	4	5	2	2	4	1	2	3	5	2	3	2	3	3	1	 	60	 	80	70	52	 	3	2
6	2	3	4	4	6	1	3	7	1	6	2	4	4	3	5	2	5	7	1	3	9	2	3	3	3	3	1	9	3	1	82	64	79	73	66	66	155	1	1
5	2	2	1	2	3	4	3	1	3	3	2	1	1	2	3	4	3	5	3	1	3	2	4	2	2	5	3	4	4	1	59	53	62	55	60	59	114	1	1
7	4	2	5	3	5	4	3	3	7	5	2	2	7	4	6	4	5	3	7	3	5	2	3	2	4	4	4	3	2	1	98	65	92	76	85	61	174	1	1
4	4	3	4	2	4	4	2	3	4	4	4	3	4	3	4	4	2	3	4	3	3	3	3	3	3	3	3	3	3	1	80	55	79	79	74	59	159	1	2
7	2	7	1	7	6	4	7	4	7	7	1	7	1	7	7	7	7	4	4	2	3	2	4	2	1	3	1	1	1	1	128	45	127	128	134	38	256	3	3
2	2	6	5	6	5	4	6	4	5	2	2	5	5	6	5	4	6	4	3	3	5	2	4	3	3	4	2	5	3	1	88	65	88	99	102	64	187	3	3
1	1	6	3	2	2	3	4	1	6	1	2	5	3	2	2	4	3	1	6	3	3	3	3	3	5	3	2	3	3	1	64	60	70	70	71	62	134	1	1
3	4	5	6	2	7	7	4	1	7	2	3	2	6	3	7	7	5	1	4	3	5	4	5	2	3	3	3	3	3	1	81	73	66	117	108	60	198	2	3
3	7	6	5	7	3	4	3	2	6	3	7	6	5	7	3	4	4	1	5	2	4	3	2	2	3	3	2	3	3	1	89	53	84	66	65	54	155	1	2
3	4	6	1	6	2	2	5	1	2	3	4	5	1	6	1	2	5	1	2	3	5	3	3	3	2	4	2	3	9	1	89	66	88	73	57	62	162	3	2
7	4	7	1	6	6	4	6	1	5	7	4	7	1	7	6	4	5	1	3	3	3	3	3	3	9	5	3	3	3	1	88	63	83	81	73	67	169	2	1
3	7	5	5	1	3	4	3	4	3	4	7	5	3	1	3	4	3	4	3	2	3	3	3	2	2	2	3	4	4	1	86	61	79	84	88	64	170	3	2
2	3	1	1	4	6	3	7	1	7	2	4	3	1	4	5	3	6	1	6	3	4	3	3	3	3	4	3	3	3	1	86	60	85	102	102	68	188	3	3
5	4	1	5	7	7	7	2	6	6	6	4	3	1	7	5	4	1	2	6	3	5	2	3	3	9	5	2	5	3	1	88	60	97	91	69	72	179	1	1
1	4	3	7	1	2	4	4	2	3	1	4	2	6	1	1	4	3	2	2	3	4	4	2	2	3	4	2	9	2	1	63	58	60	54	57	61	117	1	1
6	2	5	2	1	3	4	3	2	3	7	2	6	2	2	3	5	3	2	3	2	5	3	3	2	3	4	2	4	2	1	65	59	67	62	63	59	127	3	1
4	6	4	2	7	5	4	3	1	7	4	6	4	2	7	3	4	3	1	7	2	3	2	3	3	2	4	2	3	3	1	89	57	 	92	84	56	181	3	2
4	2	3	1	7	2	6	1	5	6	4	6	2	1	7	2	1	3	1	6	3	5	4	2	1	2	4	3	1	3	1	74	57	65	65	44	54	139	2	1
3	2	6	1	1	4	3	3	1	3	3	2	4	1	1	4	4	3	1	3	3	4	3	3	3	3	3	3	2	3	1	66	60	68	61	62	57	127	1	2
4	4	3	2	2	3	7	3	6	7	5	6	6	3	5	3	4	3	5	5	2	4	3	4	2	3	4	2	3	2	1	78	62	98	100	84	59	178	1	1
2	1	3	3	3	6	1	6	1	7	2	1	4	3	3	4	4	5	1	7	4	5	2	3	3	3	5	2	3	3	1	70	63	68	76	82	60	146	1	1
2	4	6	3	2	7	1	5	1	7	7	4	6	2	6	4	1	3	1	2	2	3	3	4	2	4	5	3	3	5	1	76	59	86	74	57	66	150	1	1
2	7	2	4	6	7	2	3	6	5	5	7	1	4	4	6	2	2	6	3	2	5	3	5	3	2	4	2	3	3	1	96	64	82	74	74	58	170	2	1
5	6	3	1	3	5	4	6	4	7	6	6	4	2	5	5	4	6	2	6	3	4	3	3	2	3	4	2	2	3	1	86	63	104	92	89	61	178	2	2
6	4	4	3	3	3	5	2	6	7	6	3	3	3	4	3	7	2	2	4	3	4	3	4	2	3	5	2	3	3	1	92	62	88	87	74	60	179	1	3
