URBAN	GDP	LIFEEXPM	LIFEEXPF	BIRTHRAT	DEATHRAT	INFMR	FERTRATE	REGION	DEVELOP	RADIO	PHONE	HOSPBED	DOCS	LNDOCS	LNRADIO	LNPHONE	LNGDP	SEQUENCE	LNBEDS	POP92
8	200	51	55	46	14	106	6.1	1	1	9.090909091	0.163666121	19.41747573	0.314693017	-1.156157665	2.207274913	-1.809926773	5.298317367	1	2.966173471	6.022
11	130	50	53	45	15	113	6.3	1	1	18.18181818	0.3125	2.581977795	0.272776869	-1.299101149	2.900422094	-1.16315081	4.86753445	2	0.948555692	51.07
26	385	60	64	44	8	68	7.6	1	1	16.66666667	1.492537313	13.56852103	1.367427868	0.312931507	2.813410717	0.400477567	5.953243334	3	2.60775248	26.164
22	200	51	55	47	15	93	6.5	1	1	12.5	0.418410042	17.6366843	0.79649542	-0.2275339	2.525728644	-0.871293366	5.298317367	4	2.869981068	12.596
15	200	48	51	52	18	136	6.9	1	1	23.25581395	0.568181818	15.94896332	0.369085406	-0.996727208	3.146555163	-0.565313809	5.298317367	5	2.769393831	9.605
41	2300	66	74	19	6	22	1.9	1	1	23.80952381	6.666666667	27.47252747	8.944543828	2.191043718	3.170085661	1.897119985	7.740664402	6	3.313186504	1.082
19	120	46	49	46	17	134	6.2	1	1	3.448275862	0.460829493	8.14995925	0.229694965	-1.471003089	1.237874356	-0.774727168	4.787491743	7	2.098012927	15.469
5	310	51	55	52	15	108	8	1	1	9.090909091	0.201207243	10.96491228	0.215693887	-1.533895065	2.207274913	-1.60341984	5.736572297	8	2.394700382	8.206
36	170	56	55	46	13	116	6.5	1	1	5	?	9.496676163	0.524356353	-0.645583764	1.609437912	?	5.135798437	9	2.25094186	7.235
32	260	50	55	50	16	103	7	1	1	16.66666667	0.574712644	8.445945946	0.394446198	-0.930272529	2.813410717	-0.553885113	5.560681631	10	2.133686557	27.791
11	300	50	52	51	15	91	6.8	1	1	19.60784314	0.34965035	12.23990208	0.5	-0.693147181	2.975929646	-1.050821625	5.703782475	11	2.504701277	19.386
49	380	55	59	48	11	77	7	1	1	7.142857143	1.282051282	32.15434084	1.185255423	0.169958298	1.966112856	0.248461359	5.940171253	12	3.47054746	8.745
25	660	60	64	41	8	59	5.3	1	1	5.555555556	3.225806452	22.07505519	1.438641922	0.363699559	1.714798428	1.171182982	6.492239835	13	3.094448246	11.033
29	950	43	47	46	19	151	6.3	2	1	4.545454545	0.757575758	11.83431953	0.660676533	-0.414490919	1.514127733	-0.277631737	6.856461985	14	2.471003745	8.902
40	1010	55	60	44	11	81	5.7	2	1	16.66666667	0.540540541	26.52519894	0.797448166	-0.226338442	2.813410717	-0.615185639	6.91770561	15	3.278095185	12.658
47	440	46	49	44	19	135	5.8	2	1	20	0.263157895	14.5137881	0.578302105	-0.547658874	2.995732274	-1.335001067	6.086774727	16	2.675099101	3.029
32	190	39	41	42	22	136	5.8	2	1	23.25581395	0.18018018	7.00280112	0.18800173	-1.671304116	3.146555163	-1.713797928	5.247024072	17	1.946310229	5.238
41	1070	52	56	43	13	110	5.8	2	1	10.63829787	0.900900901	21.92982456	2.581977795	0.948555692	2.364460497	-0.104360015	6.975413927	18	3.087847562	2.376
45	4400	51	56	28	15	100	5.3	2	1	20	1.5625	46.2962963	2.650410814	0.974714652	2.995732274	0.446287103	8.38935982	19	3.835061964	1.106
44	180	52	56	45	14	97	6	2	1	10.30927835	0.097465887	21.00840336	0.431164576	-0.841265416	2.3330443	-2.32825284	5.192956851	20	3.044922518	39.084
51	2130	66	68	31	7	57	5.2	3	1	25	4.347826087	25.44529262	9.416195857	2.24243117	3.218875825	1.46967597	7.663877259	21	3.23653076	26.666
44	720	58	62	33	10	80	4.2	3	1	25.64102564	2.941176471	19.8019802	16.23376623	2.787093408	3.244193633	1.078809661	6.579251212	22	2.985781943	56.386
