AGE	SEX	EDUC	WRKSTAT	RICHWORK	SATJOB	LIFE	IMPJOB	INCOME4	HRS1	DEGREE	ANOMIA5	DEGREE2	MAEDUC	PAEDUC	MACOLLEG	PACOLLEG	SATJOB2	MARITAL	AGEWED	SPWRKSTA	SPHRS1	SIBS	ZODIAC	SPEDUC	SPDEG	PARTYID	VOTE92	PRES92	POSTLIFE	HAPPY	HAPMAR	JOBINC	CLASSICL	OPERA	COUNTRY	RINCOM91	TVHOURS	FINRELA	WIFEDUC	HUSBEDUC	INCOMDOL	RINCMDOL	INCOME91
43	1	11	1	1	2	2	2	3	35	1	1	0	0	97	0	?	2	3	20	0	-1	3	2	97	7	5	1	2	0	3	0	3	1	2	3	17	4	3	?	?	45000	37500	18
44	1	16	1	1	4	3	2	3	21	3	1	1	8	6	0	0	2	5	0	0	-1	2	6	97	7	0	1	1	1	2	0	1	1	1	3	18	5	3	?	?	45000	45000	18
43	2	16	1	1	1	3	1	3	45	3	1	1	8	12	0	0	1	3	25	0	-1	2	11	97	7	5	1	2	0	1	0	2	1	1	3	18	2	3	?	?	45000	45000	18
45	2	15	2	0	3	0	2	4	20	1	0	0	12	14	?	0	2	5	0	0	-1	4	99	97	7	5	1	2	1	2	0	0	1	5	3	22	4	4	?	?	?	?	22
78	2	17	5	0	0	3	2	4	-1	4	1	1	14	11	0	0	?	5	0	0	-1	1	7	97	7	3	1	1	2	9	0	9	1	1	4	0	1	5	?	?	87500	?	21
83	1	11	5	0	0	2	1	1	-1	1	1	0	98	98	0	0	?	1	25	5	-1	2	12	12	1	1	1	1	0	2	1	2	8	5	3	0	4	3	12	11	21250	?	13
55	2	12	1	2	1	2	2	3	35	1	1	0	8	8	0	0	1	1	22	1	40	2	7	12	1	0	1	1	0	2	2	1	3	2	1	15	3	3	12	12	55000	27500	19
75	1	12	5	0	0	2	1	1	-1	1	1	0	8	98	0	0	?	1	24	5	-1	3	9	12	1	1	2	0	0	2	2	1	1	2	3	0	3	2	12	12	13750	?	10
31	1	18	1	1	1	3	2	4	50	4	1	1	12	14	0	0	1	3	22	0	-1	1	4	97	7	6	1	2	8	2	0	2	2	3	2	20	1	4	?	?	87500	67500	21
54	2	18	2	1	1	3	1	1	20	4	9	1	12	8	0	0	1	5	0	0	-1	1	12	97	7	0	1	1	1	1	0	2	2	2	3	2	1	3	?	?	11250	2000	9
29	2	18	1	0	2	0	1	2	35	4	0	1	12	6	0	0	2	5	0	0	-1	1	2	97	7	1	2	0	1	2	0	0	3	5	3	16	2	3	?	?	32500	32500	16
23	2	15	1	1	2	2	1	3	60	1	1	0	14	97	0	?	2	5	0	0	-1	0	8	97	7	1	1	3	0	2	0	1	3	3	3	3	4	3	?	?	45000	3500	18
61	2	12	1	0	2	0	1	1	40	1	0	0	12	98	0	0	2	1	31	1	40	0	99	12	1	1	3	0	1	2	2	0	2	5	1	8	3	3	12	12	23750	9000	14
63	2	4	5	0	0	1	8	1	-1	0	8	0	0	97	0	?	?	4	24	0	-1	3	1	97	7	1	1	1	0	3	0	1	5	5	5	0	6	1	?	?	5500	?	5
33	2	10	4	2	2	3	1	1	-1	0	1	0	98	98	?	?	2	5	0	0	-1	4	12	97	7	3	2	0	1	2	0	1	5	5	3	9	4	3	?	?	11250	11250	9
36	2	14	1	0	3	0	2	1	37	1	0	0	12	97	0	?	2	5	0	0	-1	0	8	97	7	1	4	0	1	2	0	0	5	5	3	10	2	3	?	?	13750	13750	10
39	2	8	7	0	2	3	5	1	-1	0	1	0	9	99	0	?	2	5	0	0	-1	98	12	97	7	5	2	0	1	2	0	1	5	5	5	0	5	1	?	?	5500	?	5
55	1	15	1	0	2	0	1	4	40	1	0	0	0	12	0	0	2	1	22	6	-1	9	10	14	1	3	3	0	8	1	1	0	8	5	4	22	2	4	14	15	?	?	22
55	2	16	1	1	3	2	2	4	38	3	2	1	8	12	0	0	2	1	32	1	40	1	7	20	4	0	1	1	1	2	1	3	1	1	2	14	2	3	16	20	87500	23750	21
34	1	16	1	0	2	0	2	4	55	3	0	1	12	9	0	0	2	1	24	7	-1	2	2	14	2	1	1	3	1	2	1	0	3	3	4	21	4	3	14	16	87500	87500	21
36	2	14	3	1	1	2	2	4	-1	2	1	0	16	16	1	1	1	1	24	1	44	5	3	16	3	0	1	1	1	2	2	5	4	4	2	15	1	4	14	16	67500	27500	20
44	2	18	2	1	1	3	1	4	21	3	1	1	12	12	0	0	1	1	23	1	40	0	5	12	1	1	1	1	1	2	2	2	4	5	3	18	2	4	18	12	87500	45000	21
80	1	18	5	0	0	0	2	3	-1	4	0	1	8	97	0	?	?	2	25	0	-1	2	2	97	7	0	1	1	2	3	0	0	1	1	3	0	3	4	?	?	45000	?	18
32	1	16	1	0	2	0	2	2	32	3	0	1	16	16	1	1	2	5	0	0	-1	5	5	97	7	0	3	0	1	2	0	0	2	3	2	11	3	2	?	?	27500	16250	15
37	1	5	2	0	1	0	2	1	30	0	0	0	4	98	0	0	1	1	32	7	-1	7	6	98	8	0	1	1	2	1	1	0	2	2	1	4	2	2	?	?	21250	4500	13
49	2	16	1	0	2	0	1	2	80	3	0	1	16	16	1	1	2	1	40	1	80	5	6	16	3	6	1	2	1	2	2	0	2	2	2	15	3	3	16	16	32500	27500	16
45	2	16	1	1	2	2	2	4	50	3	1	1	97	12	?	0	2	3	16	0	-1	6	9	97	7	1	1	1	0	2	0	4	2	2	3	20	2	3	?	?	67500	67500	20
36	2	18	1	1	2	2	2	2	40	3	1	1	18	13	1	0	2	5	0	0	-1	2	2	97	7	0	1	1	0	2	0	2	1	1	3	9	2	4	?	?	32500	11250	16
23	2	16	2	0	1	0	2	1	21	1	0	0	16	97	1	?	1	5	0	0	-1	5	1	97	7	0	1	1	1	2	0	0	1	3	3	5	1	3	?	?	11250	5500	9
29	1	16	1	1	2	3	2	3	50	4	2	1	16	16	1	1	2	5	0	0	-1	1	2	97	7	0	1	1	0	2	0	3	2	3	2	19	3	4	?	?	55000	55000	19
30	2	14	1	1	2	2	4	2	40	2	1	0	12	13	0	0	2	5	0	0	-1	3	11	97	7	1	1	1	2	2	0	2	4	3	2	16	2	3	?	?	32500	32500	16
40	2	16	1	1	3	3	1	2	60	3	2	1	12	0	0	0	2	5	0	0	-1	8	4	97	7	2	1	1	0	2	0	3	1	1	3	16	2	3	?	?	32500	32500	16
26	2	11	1	0	2	0	2	2	35	0	0	0	12	98	0	0	2	5	0	0	-1	8	6	97	7	5	2	0	2	2	0	0	5	5	3	11	1	3	?	?	32500	16250	16
66	1	12	5	0	0	0	2	4	-1	1	0	0	12	4	0	0	?	1	21	5	-1	3	12	12	1	0	1	1	2	1	1	0	3	5	4	0	3	4	12	12	87500	?	21
53	2	14	4	0	4	0	2	3	-1	1	0	0	12	12	0	0	2	1	22	5	-1	11	8	17	3	0	2	0	1	1	1	0	1	2	1	10	2	4	14	17	45000	13750	18
20	2	12	2	1	1	3	2	1	20	1	2	0	6	3	0	0	1	1	19	2	26	2	9	12	1	4	1	2	1	1	1	2	2	8	8	2	3	2	12	12	9000	2000	8
63	2	12	1	2	3	2	2	1	40	1	1	0	8	98	0	0	2	3	24	0	-1	4	4	97	7	1	1	1	0	3	0	2	1	1	1	9	4	1	?	?	11250	11250	9
41	1	6	2	1	2	2	2	2	16	0	1	0	0	0	0	0	2	1	28	7	-1	7	6	12	1	1	2	0	1	3	2	3	2	5	1	16	2	2	12	6	32500	32500	16
33	2	14	1	2	1	3	1	4	40	1	2	0	14	14	0	0	1	3	19	0	-1	3	5	97	7	0	1	8	0	1	0	1	2	4	3	17	1	4	?	?	67500	37500	20
34	1	12	1	1	2	3	2	2	40	1	1	0	12	98	?	0	2	1	24	1	40	4	10	12	1	1	1	1	0	1	1	1	2	2	2	12	3	3	12	12	27500	18750	15
61	2	16	1	2	1	3	1	2	89	3	2	1	16	16	1	1	1	1	20	5	-1	5	4	18	4	6	3	0	1	1	1	2	1	1	2	13	1	3	16	18	37500	21250	17
29	2	18	2	8	1	3	2	3	20	4	8	1	7	16	0	1	1	1	26	1	40	2	3	14	1	1	1	3	8	1	1	4	2	4	2	18	2	3	18	14	55000	45000	19
45	2	13	1	1	1	3	2	4	40	1	2	0	13	12	0	0	1	5	0	0	-1	4	11	97	7	5	1	2	1	2	0	3	1	4	1	20	4	4	?	?	67500	67500	20
31	1	14	1	1	1	3	2	3	60	1	1	0	8	8	0	0	1	5	0	0	-1	2	1	97	7	6	1	2	0	1	0	2	3	3	2	18	2	3	?	?	45000	45000	18
28	1	18	1	1	2	9	1	2	40	4	2	1	3	3	0	0	2	1	26	4	-1	1	1	16	3	1	4	0	8	2	1	1	1	2	2	17	1	3	16	18	37500	37500	17
34	2	18	1	2	2	3	2	3	40	4	2	1	12	12	0	0	2	3	21	0	-1	2	5	97	7	1	1	1	0	1	0	3	2	4	3	18	2	3	?	?	45000	45000	18
45	2	13	1	1	1	3	2	3	20	1	8	0	12	12	0	0	1	3	21	0	-1	2	1	97	7	1	1	1	1	1	0	4	2	2	3	18	1	2	?	?	45000	45000	18
35	2	16	1	0	1	0	3	3	40	3	0	1	12	18	0	1	1	3	21	0	-1	0	4	97	7	5	1	2	1	1	0	0	1	4	4	19	2	4	?	?	55000	55000	19
48	1	16	1	2	1	3	2	3	20	3	2	1	13	12	0	?	1	5	0	0	-1	1	3	97	7	2	1	1	0	1	0	2	1	1	3	19	1	3	?	?	55000	55000	19
39	1	19	1	1	2	3	1	3	40	4	1	1	19	17	1	1	2	3	17	0	-1	21	12	97	7	2	1	1	2	1	0	4	2	2	3	16	2	3	?	?	55000	32500	19
20	1	13	8	0	0	3	1	3	-1	1	1	0	7	9	0	0	?	5	0	0	-1	3	4	97	7	0	2	0	0	2	0	1	2	5	8	0	3	3	?	?	55000	?	19
27	2	15	1	2	3	1	2	1	62	1	1	0	12	12	0	0	2	1	19	1	65	6	6	12	1	0	1	1	0	2	2	1	2	2	3	4	2	2	15	12	16250	4500	11
36	1	12	1	1	2	2	2	1	20	1	1	0	10	97	0	?	2	5	0	0	-1	1	7	97	7	0	1	1	1	2	0	2	3	4	2	6	3	2	?	?	9000	6500	8
78	1	15	5	0	0	3	2	3	-1	3	1	1	3	4	0	0	?	1	24	5	-1	6	11	10	0	4	1	2	1	2	3	3	1	2	2	0	1	3	10	15	55000	?	19
42	2	12	1	1	1	3	1	2	50	1	1	0	12	97	0	?	1	5	0	0	-1	2	4	97	7	0	1	1	8	1	0	2	2	4	1	16	2	2	?	?	32500	32500	16
31	2	16	1	1	2	2	2	2	40	3	1	1	2	97	0	?	2	1	19	4	-1	2	8	8	0	5	1	2	0	3	3	2	2	2	2	11	1	3	16	8	32500	16250	16
44	2	16	1	0	2	0	1	3	40	3	0	1	6	6	0	0	2	5	0	0	-1	8	3	97	7	1	1	2	2	1	0	0	1	2	2	13	3	3	?	?	45000	21250	18
39	1	12	1	1	2	2	1	3	40	1	8	0	0	3	0	0	2	1	24	1	40	5	2	7	0	1	2	0	1	2	2	2	2	3	3	13	2	3	7	12	45000	21250	18
19	2	11	7	0	2	1	2	1	-1	0	1	0	8	97	0	?	2	5	0	0	-1	3	1	97	7	0	2	0	1	3	0	4	5	2	4	0	10	1	?	?	500	?	1
37	2	12	7	0	1	0	2	3	-1	1	0	0	14	13	0	0	1	1	24	2	25	3	4	20	4	1	1	3	1	3	1	0	1	3	2	0	6	2	12	20	55000	?	19
48	2	16	7	0	1	3	2	4	-1	3	1	1	12	12	0	?	1	1	21	1	50	3	10	16	3	0	1	1	0	1	1	4	1	1	2	0	1	5	16	16	87500	?	21
39	2	15	1	0	1	0	1	4	50	1	0	0	10	12	0	?	1	1	18	1	50	4	6	16	3	3	1	3	1	3	1	0	3	8	1	17	1	4	15	16	87500	37500	21
45	1	14	1	1	2	3	1	4	22	1	1	0	12	12	0	0	2	1	22	1	45	3	9	12	1	4	1	1	0	2	1	2	1	3	2	17	3	4	12	14	87500	37500	21
46	1	20	1	1	2	3	1	4	50	4	1	1	97	8	?	0	2	1	23	1	40	1	6	19	4	1	1	1	2	1	2	4	1	3	2	21	1	5	19	20	87500	87500	21
23	2	16	1	1	2	3	1	4	60	3	8	1	18	20	1	1	2	5	0	0	-1	1	1	97	7	5	1	2	2	1	0	3	2	3	3	15	1	4	?	?	87500	27500	21
37	2	16	2	1	2	3	3	4	10	3	2	1	12	12	0	0	2	1	22	1	40	1	7	16	3	0	1	1	1	1	1	3	3	4	1	9	2	5	16	16	87500	11250	21
