LOINC93	LEP93	LEP94	GRAD93	GRAD94	ACT94	ACT93	PCTACT93	PCTACT94	MATH93	MATH94ME	MATHCH94	READ94ME	READCH94	SCIENC93	SCI94ME	SCICH94	ID	MEDLOINC	READ93
70.7	22.9	26	34.7	49	15.9	15.9	49	40.7	163	37	3	42	-5	188	55	8	1	1	171
63	0	0	17.6	28	14	14.2	78.1	68.4	127	11	-4	20	-6	143	22	3	2	1	127
6.4	5.2	5.9	73.4	73.9	17.3	17.7	69.3	69.1	187	53	5	58	2	208	60	-2	3	0	190
83.6	11.4	11.4	35.6	61.5	14.6	15.2	73.3	60.4	139	21	-1	31	1	151	24	-1	4	1	139
73.6	0	0	41.4	45	14.3	14.7	38.8	62	114	11	6	12	2	137	12	-2	5	1	89
62.1	0	0	59.1	42.2	14.5	16.2	62.5	57.6	156	20	-7	27	-17	153	38	12	6	1	161
33.7	0.4	0.9	70.4	77.4	17.8	18.2	65.3	69.9	205	61	1	73	3	235	76	-2	7	0	225
23.6	0	0	63.8	56	15.4	15.3	47.6	54.7	159	30	2	44	-4	179	34	-10	8	0	174
24.2	25.8	29.6	37.1	37.1	14.2	14.5	80.2	51.5	147	20	-5	25	-9	161	23	-7	9	0	154
79.3	0.1	0.1	32.6	38.4	14.5	14.6	42.1	46.7	136	20	3	15	-6	149	22	0	10	1	123
28.8	0.1	0.1	55.3	43.9	14.9	16.2	58.5	69.2	160	26	-7	35	-15	173	41	4	11	0	178
75.3	0	0	28.3	28.9	14.9	15.1	36	30.1	132	16	-1	27	-4	154	20	-7	12	1	145
50.7	0	0	27.4	21.2	14.3	14.4	20	7.7	129	13	1	17	-4	131	9	3	13	0	116
53.6	9.1	9.4	61.7	64.8	17.1	16.9	64.8	56.4	181	53	7	54	-5	206	51	-10	14	0	200
70.2	0	0	54	46	14.9	15.1	69.4	52.7	164	38	5	44	-11	170	37	-3	15	1	185
82.8	0	0	32.2	36.1	14.1	14.1	57.9	47.3	133	16	-1	22	-7	144	19	-1	16	1	133
